code_quartier_prioritaire,code_academie,nbre_eleves_ulis,effectifs_filles,effectifs_garcons
QP069025,10,19,42,51
QP069025,10,22,42,51
QP069025,10,18,42,51
QP069025,10,21,42,51
QP069023,10,0,63,61
QP069023,10,7,63,61
QP069023,10,0,63,61
QP069023,10,0,63,61
QP039002,03,19,73,77
QP039002,03,13,73,77
QP039002,03,19,73,77
QP039002,03,17,73,77
QP090001,03,13,32,34
QP090001,03,12,32,34
QP090001,03,12,32,34
QP090001,03,12,32,34
QP035007,14,0,70,57
QP035007,14,0,70,57
QP035007,14,0,70,57
QP035007,14,0,70,57
QP056002,14,12,77,82
QP056002,14,0,77,82
QP056002,14,7,77,82
QP056002,14,10,77,82
QP056005,14,12,56,32
QP056005,14,12,56,32
QP056005,14,12,56,32
QP056005,14,12,56,32
QP037012,18,12,51,67
QP037012,18,12,51,67
QP037012,18,11,51,67
QP037012,18,10,51,67
QP088003,12,12,98,76
QP088003,12,13,98,76
QP088003,12,12,98,76
QP088003,12,11,98,76
QP010001,19,8,57,85
QP010001,19,6,57,85
QP010001,19,10,57,85
QP010001,19,9,57,85
QP051008,19,11,48,49
QP051008,19,12,48,49
QP051008,19,12,48,49
QP051008,19,11,48,49
QP973006,33,26,98,112
QP973006,33,39,98,112
QP973006,33,34,98,112
QP973006,33,32,98,112
QP002012,20,19,53,45
QP002012,20,27,53,45
QP002012,20,26,53,45
QP002012,20,21,53,45
QP060015,20,13,96,84
QP060015,20,14,96,84
QP060015,20,13,96,84
QP060015,20,13,96,84
QP059056,09,0,31,32
QP059056,09,0,31,32
QP059056,09,0,31,32
QP059056,09,0,31,32
QP059043,09,0,111,123
QP059043,09,0,111,123
QP059043,09,0,111,123
QP059043,09,0,111,123
QP059079,09,0,14,18
QP059079,09,0,14,18
QP059079,09,0,14,18
QP059079,09,0,14,18
QP059018,09,12,28,48
QP059018,09,11,28,48
QP059018,09,13,28,48
QP059018,09,12,28,48
QP059029,09,14,47,55
QP059029,09,11,47,55
QP059029,09,10,47,55
QP059029,09,11,47,55
QP062003,09,6,75,53
QP062003,09,11,75,53
QP062003,09,0,75,53
QP062003,09,11,75,53
QP094041,24,0,81,101
QP094041,24,0,81,101
QP094041,24,0,81,101
QP094041,24,0,81,101
QP075018,01,0,63,50
QP075018,01,0,63,50
QP075018,01,0,63,50
QP075018,01,0,63,50
QP091035,25,0,121,94
QP091035,25,0,121,94
QP091035,25,0,121,94
QP091035,25,0,121,94
QP091035,25,12,68,72
QP091035,25,10,68,72
QP091035,25,11,68,72
QP091035,25,8,68,72
QP091031,25,0,108,87
QP091031,25,0,108,87
QP091031,25,0,108,87
QP091031,25,0,108,87
QP095002,25,12,54,61
QP095002,25,11,54,61
QP095002,25,12,54,61
QP095002,25,13,54,61
QP095010,25,13,97,87
QP095010,25,12,97,87
QP095010,25,12,97,87
QP095010,25,12,97,87
QP095010,25,13,102,103
QP095010,25,12,102,103
QP095010,25,10,102,103
QP095010,25,10,102,103
QP095014,25,13,67,82
QP095014,25,11,67,82
QP095014,25,13,67,82
QP095014,25,13,67,82
QP095018,25,0,63,58
QP095018,25,0,63,58
QP095018,25,0,63,58
QP095018,25,0,63,58
QP078004,25,13,63,73
QP078004,25,13,63,73
QP078004,25,12,63,73
QP078004,25,13,63,73
QP972004,31,32,51,54
QP972004,31,26,51,54
QP972004,31,20,51,54
QP972004,31,12,51,54
QP027002,70,0,81,65
QP027002,70,0,81,65
QP027002,70,0,81,65
QP027002,70,0,81,65
QP076003,70,13,50,58
QP076003,70,10,50,58
QP076003,70,15,50,58
QP076003,70,12,50,58
QP076024,70,12,41,56
QP076024,70,0,41,56
QP076024,70,0,41,56
QP076024,70,10,41,56
QP076024,70,0,49,51
QP076024,70,12,49,51
QP076024,70,12,49,51
QP076024,70,14,49,51
QP076026,70,3,46,53
QP076026,70,0,46,53
QP076026,70,13,46,53
QP076026,70,12,46,53
QP024002,04,13,51,67
QP024002,04,14,51,67
QP024002,04,13,51,67
QP024002,04,10,51,67
QP024001,04,12,73,73
QP024001,04,12,73,73
QP024001,04,14,73,73
QP024001,04,12,73,73
QP033015,04,15,71,90
QP033015,04,16,71,90
QP033015,04,15,71,90
QP033015,04,15,71,90
QP033002,04,0,69,46
QP033002,04,0,69,46
QP033002,04,0,69,46
QP033002,04,0,69,46
QP087001,22,12,88,95
QP087001,22,12,88,95
QP087001,22,12,88,95
QP087001,22,12,88,95
QP016004,13,0,77,86
QP016004,13,0,77,86
QP016004,13,0,77,86
QP016004,13,11,77,86
QP011004,11,27,80,60
QP011004,11,29,80,60
QP011004,11,30,80,60
QP011004,11,29,80,60
QP011008,11,29,90,84
QP011008,11,29,90,84
QP011008,11,29,90,84
QP011008,11,29,90,84
QP011008,11,0,73,92
QP011008,11,0,73,92
QP011008,11,0,73,92
QP011008,11,0,73,92
QP030002,11,0,77,66
QP030002,11,0,77,66
QP030002,11,0,77,66
QP030002,11,0,77,66
QP030010,11,25,83,63
QP030010,11,24,83,63
QP030010,11,24,83,63
QP030010,11,24,83,63
QP030004,11,12,51,57
QP030004,11,12,51,57
QP030004,11,12,51,57
QP030004,11,14,51,57
QP034009,11,14,44,73
QP034009,11,13,44,73
QP034009,11,15,44,73
QP034009,11,13,44,73
QP031001,16,0,103,109
QP031001,16,0,103,109
QP031001,16,0,103,109
QP031001,16,0,103,109
QP044010,17,0,52,47
QP044010,17,0,52,47
QP044010,17,0,52,47
QP044010,17,0,52,47
QP044017,17,0,86,68
QP044017,17,0,86,68
QP044017,17,0,86,68
QP044017,17,0,86,68
QP044003,17,12,73,90
QP044003,17,10,73,90
QP044003,17,12,73,90
QP044003,17,13,73,90
QP072006,17,11,66,84
QP072006,17,7,66,84
QP072006,17,10,66,84
QP072006,17,10,66,84
QP004001,02,0,52,42
QP004001,02,9,52,42
QP004001,02,0,52,42
QP004001,02,0,52,42
QP013027,02,0,79,81
QP013027,02,0,79,81
QP013027,02,0,79,81
QP013027,02,0,79,81
QP084021,02,13,81,102
QP084021,02,13,81,102
QP084021,02,15,81,102
QP084021,02,13,81,102
QP083021,23,0,86,93
QP083021,23,0,86,93
QP083021,23,0,86,93
QP083021,23,0,86,93
QP001002,10,0,69,65
QP001002,10,12,69,65
QP001002,10,9,69,65
QP001002,10,0,69,65
QP042019,10,13,96,70
QP042019,10,13,96,70
QP042019,10,12,96,70
QP042019,10,13,96,70
QP069009,10,13,86,93
QP069009,10,12,86,93
QP069009,10,13,86,93
QP069009,10,13,86,93
QP069023,10,0,49,45
QP069023,10,7,49,45
QP069023,10,0,49,45
QP069023,10,0,49,45
QP027009,70,11,64,59
QP027009,70,11,64,59
QP027009,70,13,64,59
QP027009,70,10,64,59
QP061007,70,12,46,35
QP061007,70,8,46,35
QP061007,70,13,46,35
QP061007,70,6,46,35
QP061002,70,12,68,60
QP061002,70,13,68,60
QP061002,70,13,68,60
QP061002,70,15,68,60
QP076027,70,0,72,80
QP076027,70,0,72,80
QP076027,70,0,72,80
QP076027,70,0,72,80
QP076024,70,12,39,53
QP076024,70,0,39,53
QP076024,70,0,39,53
QP076024,70,10,39,53
QP087001,22,12,74,108
QP087001,22,12,74,108
QP087001,22,12,74,108
QP087001,22,12,74,108
QP087008,22,13,64,51
QP087008,22,12,64,51
QP087008,22,12,64,51
QP087008,22,11,64,51
QP017004,13,11,47,55
QP017004,13,0,47,55
QP017004,13,0,47,55
QP017004,13,0,47,55
QP011008,11,29,91,99
QP011008,11,29,91,99
QP011008,11,29,91,99
QP011008,11,29,91,99
QP011008,11,0,76,87
QP011008,11,0,76,87
QP011008,11,0,76,87
QP011008,11,0,76,87
QP030010,11,11,104,92
QP030010,11,12,104,92
QP030010,11,12,104,92
QP030010,11,12,104,92
QP030010,11,25,72,79
QP030010,11,24,72,79
QP030010,11,24,72,79
QP030010,11,24,72,79
QP030004,11,12,49,63
QP030004,11,12,49,63
QP030004,11,12,49,63
QP030004,11,14,49,63
QP030014,11,12,57,49
QP030014,11,12,57,49
QP030014,11,12,57,49
QP030014,11,12,57,49
QP012002,16,24,62,79
QP012002,16,24,62,79
QP012002,16,23,62,79
QP012002,16,23,62,79
QP031003,16,17,54,66
QP031003,16,14,54,66
QP031003,16,13,54,66
QP031003,16,9,54,66
QP031008,16,18,49,50
QP031008,16,15,49,50
QP031008,16,11,49,50
QP031008,16,16,49,50
QP044017,17,0,96,88
QP044017,17,0,96,88
QP044017,17,0,96,88
QP044017,17,0,96,88
QP013036,02,14,69,59
QP013036,02,15,69,59
QP013036,02,14,69,59
QP013036,02,15,69,59
QP084016,02,10,88,81
QP084016,02,7,88,81
QP084016,02,12,88,81
QP084016,02,5,88,81
QP006012,23,0,81,67
QP006012,23,13,81,67
QP006012,23,12,81,67
QP006012,23,0,81,67
QP038009,08,14,64,80
QP038009,08,0,64,80
QP038009,08,11,64,80
QP038009,08,0,64,80
QP001003,10,12,79,99
QP001003,10,8,79,99
QP001003,10,0,79,99
QP001003,10,0,79,99
QP069001,10,13,117,124
QP069001,10,13,117,124
QP069001,10,13,117,124
QP069001,10,13,117,124
QP054001,12,0,62,72
QP054001,12,0,62,72
QP054001,12,0,62,72
QP054001,12,0,62,72
QP067007,15,0,91,99
QP067007,15,13,91,99
QP067007,15,15,91,99
QP067007,15,1,91,99
QP067018,15,13,61,90
QP067018,15,14,61,90
QP067018,15,13,61,90
QP067018,15,13,61,90
QP060012,20,13,51,58
QP060012,20,13,51,58
QP060012,20,13,51,58
QP060012,20,13,51,58
QP059043,09,0,91,146
QP059043,09,0,91,146
QP059043,09,0,91,146
QP059043,09,0,91,146
QP059029,09,14,43,53
QP059029,09,11,43,53
QP059029,09,10,43,53
QP059029,09,11,43,53
QP062047,09,0,61,70
QP062047,09,0,61,70
QP062047,09,0,61,70
QP062047,09,0,61,70
QP062050,09,12,57,41
QP062050,09,12,57,41
QP062050,09,11,57,41
QP062050,09,13,57,41
QP093062,24,0,98,96
QP093062,24,0,98,96
QP093062,24,0,98,96
QP093062,24,0,98,96
QP094002,24,14,97,105
QP094002,24,0,97,105
QP094002,24,12,97,105
QP094002,24,0,97,105
QP094006,24,0,68,73
QP094006,24,0,68,73
QP094006,24,0,68,73
QP094006,24,0,68,73
QP091021,25,0,79,99
QP091021,25,0,79,99
QP091021,25,0,79,99
QP091021,25,0,79,99
QP091035,25,0,101,87
QP091035,25,0,101,87
QP091035,25,0,101,87
QP091035,25,0,101,87
QP092001,25,12,76,86
QP092001,25,11,76,86
QP092001,25,12,76,86
QP092001,25,12,76,86
QP095018,25,0,68,64
QP095018,25,0,68,64
QP095018,25,0,68,64
QP095018,25,0,68,64
QP974007,28,11,109,113
QP974007,28,12,109,113
QP974007,28,12,109,113
QP974007,28,12,109,113
QP050002,70,12,52,50
QP050002,70,13,52,50
QP050002,70,14,52,50
QP050002,70,14,52,50
QP061005,70,11,53,50
QP061005,70,10,53,50
QP061005,70,12,53,50
QP061005,70,11,53,50
QP076013,70,0,49,66
QP076013,70,0,49,66
QP076013,70,0,49,66
QP076013,70,0,49,66
QP076021,70,0,58,50
QP076021,70,0,58,50
QP076021,70,0,58,50
QP076021,70,0,58,50
QP076026,70,3,53,53
QP076026,70,0,53,53
QP076026,70,13,53,53
QP076026,70,12,53,53
QP024004,04,11,28,37
QP024004,04,12,28,37
QP024004,04,14,28,37
QP024004,04,11,28,37
QP087001,22,12,90,91
QP087001,22,12,90,91
QP087001,22,12,90,91
QP087001,22,12,90,91
QP017003,13,13,115,101
QP017003,13,14,115,101
QP017003,13,12,115,101
QP017003,13,12,115,101
QP011004,11,0,93,108
QP011004,11,0,93,108
QP011004,11,0,93,108
QP011004,11,0,93,108
QP011004,11,27,67,69
QP011004,11,29,67,69
QP011004,11,30,67,69
QP011004,11,29,67,69
QP011006,11,16,104,110
QP011006,11,26,104,110
QP011006,11,22,104,110
QP011006,11,27,104,110
QP030002,11,0,56,79
QP030002,11,0,56,79
QP030002,11,0,56,79
QP030002,11,0,56,79
QP030010,11,0,90,61
QP030010,11,12,90,61
QP030010,11,0,90,61
QP030010,11,0,90,61
QP034016,11,9,101,92
QP034016,11,12,101,92
QP034016,11,13,101,92
QP034016,11,5,101,92
QP034009,11,14,55,89
QP034009,11,13,55,89
QP034009,11,15,55,89
QP034009,11,13,55,89
QP066001,11,12,122,151
QP066001,11,15,122,151
QP066001,11,15,122,151
QP066001,11,13,122,151
QP009003,16,12,59,60
QP009003,16,13,59,60
QP009003,16,11,59,60
QP009003,16,13,59,60
QP012002,16,24,70,80
QP012002,16,24,70,80
QP012002,16,23,70,80
QP012002,16,23,70,80
QP046001,16,10,72,85
QP046001,16,10,72,85
QP046001,16,11,72,85
QP046001,16,11,72,85
QP072006,17,11,64,64
QP072006,17,7,64,64
QP072006,17,10,64,64
QP072006,17,10,64,64
QP013006,02,11,123,145
QP013006,02,8,123,145
QP013006,02,13,123,145
QP013006,02,14,123,145
QP013033,02,13,46,60
QP013033,02,13,46,60
QP013033,02,15,46,60
QP013033,02,14,46,60
QP084017,02,12,120,123
QP084017,02,16,120,123
QP084017,02,9,120,123
QP084017,02,15,120,123
QP083019,23,13,103,116
QP083019,23,12,103,116
QP083019,23,11,103,116
QP083019,23,14,103,116
QP007001,08,0,74,83
QP007001,08,7,74,83
QP007001,08,12,74,83
QP007001,08,13,74,83
QP038010,08,0,45,54
QP038010,08,0,45,54
QP038010,08,0,45,54
QP038010,08,0,45,54
QP001007,10,17,99,95
QP001007,10,13,99,95
QP001007,10,15,99,95
QP001007,10,12,99,95
QP042005,10,13,80,87
QP042005,10,13,80,87
QP042005,10,13,80,87
QP042005,10,13,80,87
QP089004,07,12,36,49
QP089004,07,10,36,49
QP089004,07,12,36,49
QP089004,07,0,36,49
QP056003,14,0,47,46
QP056003,14,0,47,46
QP056003,14,0,47,46
QP056003,14,0,47,46
QP056009,14,0,64,62
QP056009,14,0,64,62
QP056009,14,0,64,62
QP056009,14,0,64,62
QP036001,18,10,57,60
QP036001,18,8,57,60
QP036001,18,12,57,60
QP036001,18,10,57,60
QP054004,12,9,53,55
QP054004,12,11,53,55
QP054004,12,8,53,55
QP054004,12,10,53,55
QP971013,32,18,39,46
QP971013,32,28,39,46
QP971013,32,10,39,46
QP971013,32,29,39,46
QP973025,33,37,70,89
QP973025,33,30,70,89
QP973025,33,23,70,89
QP973025,33,13,70,89
QP060015,20,13,66,85
QP060015,20,14,66,85
QP060015,20,13,66,85
QP060015,20,13,66,85
QP060012,20,13,54,61
QP060012,20,13,54,61
QP060012,20,13,54,61
QP060012,20,13,54,61
QP059041,09,0,79,102
QP059041,09,0,79,102
QP059041,09,0,79,102
QP059041,09,0,79,102
QP059079,09,0,21,22
QP059079,09,0,21,22
QP059079,09,0,21,22
QP059079,09,0,21,22
QP059029,09,14,48,48
QP059029,09,11,48,48
QP059029,09,10,48,48
QP059029,09,11,48,48
QP062047,09,0,53,80
QP062047,09,0,53,80
QP062047,09,0,53,80
QP062047,09,0,53,80
QP062003,09,6,62,62
QP062003,09,11,62,62
QP062003,09,0,62,62
QP062003,09,11,62,62
QP077004,24,13,72,75
QP077004,24,13,72,75
QP077004,24,13,72,75
QP077004,24,13,72,75
QP077006,24,13,65,74
QP077006,24,13,65,74
QP077006,24,13,65,74
QP077006,24,12,65,74
QP093017,24,13,82,67
QP093017,24,14,82,67
QP093017,24,14,82,67
QP093017,24,14,82,67
QP091007,25,0,52,86
QP091007,25,0,52,86
QP091007,25,0,52,86
QP091007,25,0,52,86
QP092001,25,12,78,80
QP092001,25,11,78,80
QP092001,25,12,78,80
QP092001,25,12,78,80
QP095010,25,13,91,103
QP095010,25,12,91,103
QP095010,25,12,91,103
QP095010,25,12,91,103
QP095001,25,20,70,83
QP095001,25,20,70,83
QP095001,25,20,70,83
QP095001,25,20,70,83
QP095013,25,12,40,49
QP095013,25,12,40,49
QP095013,25,15,40,49
QP095013,25,0,40,49
QP095030,25,12,73,67
QP095030,25,12,73,67
QP095030,25,12,73,67
QP095030,25,12,73,67
QP095037,25,16,76,83
QP095037,25,14,76,83
QP095037,25,15,76,83
QP095037,25,17,76,83
QP974015,28,15,68,61
QP974015,28,9,68,61
QP974015,28,13,68,61
QP974015,28,10,68,61
QP972007,31,18,33,44
QP972007,31,17,33,44
QP972007,31,21,33,44
QP972007,31,18,33,44
QP076013,70,0,77,79
QP076013,70,0,77,79
QP076013,70,0,77,79
QP076013,70,0,77,79
QP076008,70,0,42,44
QP076008,70,0,42,44
QP076008,70,0,42,44
QP076008,70,0,42,44
QP024002,04,13,68,73
QP024002,04,14,68,73
QP024002,04,13,68,73
QP024002,04,10,68,73
QP033002,04,0,86,68
QP033002,04,0,86,68
QP033002,04,0,86,68
QP033002,04,0,86,68
QP016004,13,0,72,79
QP016004,13,0,72,79
QP016004,13,0,72,79
QP016004,13,11,72,79
QP079003,13,13,62,79
QP079003,13,22,62,79
QP079003,13,28,62,79
QP079003,13,24,62,79
QP079004,13,14,60,54
QP079004,13,15,60,54
QP079004,13,13,60,54
QP079004,13,14,60,54
QP011004,11,0,48,43
QP011004,11,0,48,43
QP011004,11,0,48,43
QP011004,11,0,48,43
QP011008,11,29,64,95
QP011008,11,29,64,95
QP011008,11,29,64,95
QP011008,11,29,64,95
QP011008,11,0,89,66
QP011008,11,0,89,66
QP011008,11,0,89,66
QP011008,11,0,89,66
QP030002,11,0,65,55
QP030002,11,0,65,55
QP030002,11,0,65,55
QP030002,11,0,65,55
QP030010,11,25,90,76
QP030010,11,24,90,76
QP030010,11,24,90,76
QP030010,11,24,90,76
QP031003,16,17,56,73
QP031003,16,14,56,73
QP031003,16,13,56,73
QP031003,16,9,56,73
QP031003,16,12,54,54
QP031003,16,17,54,54
QP031003,16,15,54,54
QP031003,16,13,54,54
QP046001,16,10,82,62
QP046001,16,10,82,62
QP046001,16,11,82,62
QP046001,16,11,82,62
QP072006,17,11,60,54
QP072006,17,7,60,54
QP072006,17,10,60,54
QP072006,17,10,60,54
QP084013,02,13,93,85
QP084013,02,11,93,85
QP084013,02,11,93,85
QP084013,02,11,93,85
QP038014,08,14,66,68
QP038014,08,14,66,68
QP038014,08,15,66,68
QP038014,08,13,66,68
QP001002,10,0,80,62
QP001002,10,12,80,62
QP001002,10,9,80,62
QP001002,10,0,80,62
QP090001,03,13,36,30
QP090001,03,12,36,30
QP090001,03,12,36,30
QP090001,03,12,36,30
QP071007,07,0,52,65
QP071007,07,0,52,65
QP071007,07,0,52,65
QP071007,07,0,52,65
QP036001,18,10,53,47
QP036001,18,8,53,47
QP036001,18,12,53,47
QP036001,18,10,53,47
QP037007,18,0,58,39
QP037007,18,0,58,39
QP037007,18,0,58,39
QP037007,18,0,58,39
QP057013,12,24,81,85
QP057013,12,25,81,85
QP057013,12,27,81,85
QP057013,12,27,81,85
QP010001,19,8,58,64
QP010001,19,6,58,64
QP010001,19,10,58,64
QP010001,19,9,58,64
QP051002,19,12,73,68
QP051002,19,12,73,68
QP051002,19,11,73,68
QP051002,19,13,73,68
QP060014,20,22,104,75
QP060014,20,13,104,75
QP060014,20,24,104,75
QP060014,20,19,104,75
QP059044,09,0,33,49
QP059044,09,0,33,49
QP059044,09,0,33,49
QP059044,09,0,33,49
QP059043,09,0,117,118
QP059043,09,0,117,118
QP059043,09,0,117,118
QP059043,09,0,117,118
QP059029,09,14,48,55
QP059029,09,11,48,55
QP059029,09,10,48,55
QP059029,09,11,48,55
QP062003,09,6,65,70
QP062003,09,11,65,70
QP062003,09,0,65,70
QP062003,09,11,65,70
QP077024,24,13,71,68
QP077024,24,13,71,68
QP077024,24,13,71,68
QP077024,24,13,71,68
QP093056,24,14,77,84
QP093056,24,14,77,84
QP093056,24,14,77,84
QP093056,24,16,77,84
QP093027,24,0,66,100
QP093027,24,0,66,100
QP093027,24,0,66,100
QP093027,24,0,66,100
QP092014,01,11,50,52
QP092014,01,11,50,52
QP092014,01,12,50,52
QP092014,01,12,50,52
QP091035,25,12,73,87
QP091035,25,10,73,87
QP091035,25,11,73,87
QP091035,25,8,73,87
QP092001,25,12,65,60
QP092001,25,11,65,60
QP092001,25,12,65,60
QP092001,25,12,65,60
QP095041,25,0,57,59
QP095041,25,0,57,59
QP095041,25,0,57,59
QP095041,25,0,57,59
QP078004,25,13,49,61
QP078004,25,13,49,61
QP078004,25,12,49,61
QP078004,25,13,49,61
QP078003,25,11,76,74
QP078003,25,12,76,74
QP078003,25,11,76,74
QP078003,25,11,76,74
QP972004,31,0,49,59
QP972004,31,0,49,59
QP972004,31,0,49,59
QP972004,31,0,49,59
QP972007,31,18,25,28
QP972007,31,17,25,28
QP972007,31,21,25,28
QP972007,31,18,25,28
QP025006,03,20,73,74
QP025006,03,22,73,74
QP025006,03,22,73,74
QP025006,03,21,73,74
QP035006,14,11,54,46
QP035006,14,14,54,46
QP035006,14,12,54,46
QP035006,14,13,54,46
QP028004,18,13,75,68
QP028004,18,12,75,68
QP028004,18,11,75,68
QP028004,18,12,75,68
QP036001,18,10,65,75
QP036001,18,8,65,75
QP036001,18,12,65,75
QP036001,18,10,65,75
QP045006,18,0,61,83
QP045006,18,0,61,83
QP045006,18,0,61,83
QP045006,18,0,61,83
QP057017,12,28,65,52
QP057017,12,23,65,52
QP057017,12,25,65,52
QP057017,12,22,65,52
QP057014,12,12,36,43
QP057014,12,0,36,43
QP057014,12,11,36,43
QP057014,12,12,36,43
QP057013,12,24,93,86
QP057013,12,25,93,86
QP057013,12,27,93,86
QP057013,12,27,93,86
QP008004,19,10,34,34
QP008004,19,0,34,34
QP008004,19,10,34,34
QP008004,19,0,34,34
QP059069,09,0,83,86
QP059069,09,0,83,86
QP059069,09,0,83,86
QP059069,09,0,83,86
QP059046,09,8,61,67
QP059046,09,11,61,67
QP059046,09,12,61,67
QP059046,09,15,61,67
QP059026,09,0,43,45
QP059026,09,0,43,45
QP059026,09,0,43,45
QP059026,09,0,43,45
QP059054,09,0,76,65
QP059054,09,0,76,65
QP059054,09,5,76,65
QP059054,09,0,76,65
QP062060,09,7,62,73
QP062060,09,6,62,73
QP062060,09,7,62,73
QP062060,09,7,62,73
QP062064,09,18,82,107
QP062064,09,18,82,107
QP062064,09,16,82,107
QP062064,09,19,82,107
QP093027,24,0,95,133
QP093027,24,0,95,133
QP093027,24,0,95,133
QP093027,24,0,95,133
QP094007,24,16,48,66
QP094007,24,16,48,66
QP094007,24,16,48,66
QP094007,24,15,48,66
QP075005,01,10,58,63
QP075005,01,10,58,63
QP075005,01,11,58,63
QP075005,01,10,58,63
QP092014,01,11,59,65
QP092014,01,11,59,65
QP092014,01,12,59,65
QP092014,01,12,59,65
QP091013,25,0,106,95
QP091013,25,0,106,95
QP091013,25,0,106,95
QP091013,25,0,106,95
QP091007,25,0,52,88
QP091007,25,0,52,88
QP091007,25,0,52,88
QP091007,25,0,52,88
QP092021,25,12,71,78
QP092021,25,7,71,78
QP092021,25,0,71,78
QP092021,25,0,71,78
QP095041,25,0,58,45
QP095041,25,0,58,45
QP095041,25,0,58,45
QP095041,25,0,58,45
QP095019,25,0,45,59
QP095019,25,0,45,59
QP095019,25,0,45,59
QP095019,25,0,45,59
QP078003,25,11,64,88
QP078003,25,12,64,88
QP078003,25,11,64,88
QP078003,25,11,64,88
QP974015,28,15,65,83
QP974015,28,9,65,83
QP974015,28,13,65,83
QP974015,28,10,65,83
QP974007,28,11,110,129
QP974007,28,12,110,129
QP974007,28,12,110,129
QP974007,28,12,110,129
QP972007,31,17,33,39
QP972007,31,18,33,39
QP972007,31,18,33,39
QP972007,31,17,33,39
QP972007,31,18,29,38
QP972007,31,17,29,38
QP972007,31,21,29,38
QP972007,31,18,29,38
QP050001,70,0,45,31
QP050001,70,11,45,31
QP050001,70,14,45,31
QP050001,70,13,45,31
QP050002,70,12,56,33
QP050002,70,13,56,33
QP050002,70,14,56,33
QP050002,70,14,56,33
QP061007,70,12,32,45
QP061007,70,8,32,45
QP061007,70,13,32,45
QP061007,70,6,32,45
QP027005,70,12,71,75
QP027005,70,13,71,75
QP027005,70,12,71,75
QP027005,70,13,71,75
QP076013,70,0,70,71
QP076013,70,0,70,71
QP076013,70,0,70,71
QP076013,70,0,70,71
QP024004,04,11,49,47
QP024004,04,12,49,47
QP024004,04,14,49,47
QP024004,04,11,49,47
QP047006,04,12,94,105
QP047006,04,12,94,105
QP047006,04,11,94,105
QP047006,04,12,94,105
QP087003,22,12,66,48
QP087003,22,10,66,48
QP087003,22,12,66,48
QP087003,22,10,66,48
QP087007,22,0,88,106
QP087007,22,0,88,106
QP087007,22,0,88,106
QP087007,22,0,88,106
QP079004,13,14,63,74
QP079004,13,15,63,74
QP079004,13,13,63,74
QP079004,13,14,63,74
QP011010,11,22,101,100
QP011010,11,23,101,100
QP011010,11,27,101,100
QP011010,11,22,101,100
QP011008,11,0,50,65
QP011008,11,0,50,65
QP011008,11,0,50,65
QP011008,11,0,50,65
QP030010,11,11,106,99
QP030010,11,12,106,99
QP030010,11,12,106,99
QP030010,11,12,106,99
QP031008,16,18,39,40
QP031008,16,15,39,40
QP031008,16,11,39,40
QP031008,16,16,39,40
QP046001,16,10,75,89
QP046001,16,10,75,89
QP046001,16,11,75,89
QP046001,16,11,75,89
QP044019,17,10,54,58
QP044019,17,10,54,58
QP044019,17,9,54,58
QP044019,17,9,54,58
QP053001,17,21,61,61
QP053001,17,25,61,61
QP053001,17,22,61,61
QP053001,17,26,61,61
QP013033,02,13,36,39
QP013033,02,13,36,39
QP013033,02,15,36,39
QP013033,02,14,36,39
QP005001,02,14,83,87
QP005001,02,12,83,87
QP005001,02,12,83,87
QP005001,02,15,83,87
QP083012,23,22,72,73
QP083012,23,23,72,73
QP083012,23,20,72,73
QP083012,23,21,72,73
QP026011,08,0,55,55
QP026011,08,0,55,55
QP026011,08,0,55,55
QP026011,08,0,55,55
QP038009,08,14,66,68
QP038009,08,0,66,68
QP038009,08,11,66,68
QP038009,08,0,66,68
QP001003,10,12,61,86
QP001003,10,8,61,86
QP001003,10,0,61,86
QP001003,10,0,61,86
QP069025,10,19,53,56
QP069025,10,22,53,56
QP069025,10,18,53,56
QP069025,10,21,53,56
QP070004,03,12,76,99
QP070004,03,8,76,99
QP070004,03,11,76,99
QP070004,03,10,76,99
QP039002,03,19,82,77
QP039002,03,13,82,77
QP039002,03,19,82,77
QP039002,03,17,82,77
QP090001,03,0,55,69
QP090001,03,12,55,69
QP090001,03,11,55,69
QP090001,03,0,55,69
QP026012,08,0,56,60
QP026012,08,0,56,60
QP026012,08,0,56,60
QP026012,08,0,56,60
QP038010,08,0,55,35
QP038010,08,0,55,35
QP038010,08,0,55,35
QP038010,08,0,55,35
QP069040,10,12,79,101
QP069040,10,12,79,101
QP069040,10,13,79,101
QP069040,10,13,79,101
QP062050,09,12,50,41
QP062050,09,12,50,41
QP062050,09,11,50,41
QP062050,09,13,50,41
QP062053,09,0,71,75
QP062053,09,0,71,75
QP062053,09,0,71,75
QP062053,09,0,71,75
QP093062,24,0,92,100
QP093062,24,0,92,100
QP093062,24,0,92,100
QP093062,24,0,92,100
QP094002,24,14,93,112
QP094002,24,0,93,112
QP094002,24,12,93,112
QP094002,24,0,93,112
QP094042,24,6,62,68
QP094042,24,0,62,68
QP094042,24,11,62,68
QP094042,24,1,62,68
QP094020,24,14,43,55
QP094020,24,12,43,55
QP094020,24,13,43,55
QP094020,24,15,43,55
QP075005,01,10,54,52
QP075005,01,10,54,52
QP075005,01,11,54,52
QP075005,01,10,54,52
QP091021,25,0,86,98
QP091021,25,0,86,98
QP091021,25,0,86,98
QP091021,25,0,86,98
QP091014,25,0,100,92
QP091014,25,0,100,92
QP091014,25,0,100,92
QP091014,25,0,100,92
QP095030,25,13,58,82
QP095030,25,13,58,82
QP095030,25,13,58,82
QP095030,25,12,58,82
QP078003,25,11,82,91
